feature,shap_importance
Sex,0.28997693265817615
Name,0.08418714338936327
Fare,0.048348126823966976
Ticket,0.04071946716594054
PassengerId,0.03200225459590703
Age,0.023272880432089586
Pclass,0.0
SibSp,0.0
Parch,0.0
Cabin,0.0
Embarked,0.0
