0,0.655914,0.645161
1,0.655914,0.645161
2,0.655914,0.645161
3,0.655914,0.645161
4,0.774194,0.645161
5,0.827957,0.645161
6,0.827957,0.645161
7,0.827957,0.645161
8,0.827957,0.645161
9,0.827957,0.645161
10,0.827957,0.645161
11,0.827957,0.645161
12,0.827957,0.645161
13,0.827957,0.645161
14,0.849462,0.645161
15,0.849462,0.645161
16,0.849462,0.645161
17,0.849462,0.645161
18,0.860215,0.645161
19,0.860215,0.645161
20,0.860215,0.645161
21,0.860215,0.645161
22,0.860215,0.645161
23,0.88172,0.709677
24,0.88172,0.709677
25,0.88172,0.709677
26,0.88172,0.709677
27,0.88172,0.709677
28,0.88172,0.709677
29,0.88172,0.677419
30,0.88172,0.709677
31,0.88172,0.677419
32,0.892473,0.677419
33,0.892473,0.677419
34,0.892473,0.709677
35,0.892473,0.709677
36,0.892473,0.709677
37,0.892473,0.677419
38,0.903226,0.677419
39,0.903226,0.645161
40,0.903226,0.645161
41,0.903226,0.645161
42,0.903226,0.645161
43,0.913978,0.677419
44,0.903226,0.677419
45,0.924731,0.677419
46,0.913978,0.677419
47,0.924731,0.677419
48,0.935484,0.709677
49,0.935484,0.709677
50,0.935484,0.709677
51,0.935484,0.709677
52,0.935484,0.709677
53,0.935484,0.709677
54,0.935484,0.709677
55,0.935484,0.709677
56,0.935484,0.709677
57,0.935484,0.709677
58,0.935484,0.709677
59,0.935484,0.709677
60,0.924731,0.709677
61,0.935484,0.709677
62,0.924731,0.709677
63,0.924731,0.709677
64,0.935484,0.709677
65,0.935484,0.709677
66,0.935484,0.709677
67,0.935484,0.709677
68,0.935484,0.709677
69,0.935484,0.709677
70,0.935484,0.709677
71,0.935484,0.709677
72,0.935484,0.709677
73,0.935484,0.709677
