feature,weight
intercept,-1.0246662657091417
PassengerId,-0.20219102678691772
Pclass,-0.08431105778408454
Name,-0.544968322156758
Sex,-1.6113708037557017
Age,-0.2533418207985255
SibSp,-0.638570688503981
Parch,0.06310856705388768
Ticket,-0.5533155830643177
Fare,-0.054417493750175565
Cabin,0.1626827989713712
Embarked,-0.029851702760553152
