feature,mean_importance
Age,-0.008007915670398847
Name,-0.007710195154940891
Pclass,-0.0072910027896675
SibSp,-0.006662626963331508
Cabin,-0.004449687849068606
Embarked,-0.0015043094773941946
Fare,0.0015140819654187788
Ticket,0.0033046234226485893
Parch,0.0062196428958837926
PassengerId,0.00890504417153688
Sex,0.09098794690794451
